split,task_idx,task_key,stage,time_s,P_eng_target_kw
heldout_evaluation,11,heldout_evaluation:011,75,75,0.0
heldout_evaluation,11,heldout_evaluation:011,76,76,0.0
heldout_evaluation,11,heldout_evaluation:011,77,77,0.0
heldout_evaluation,11,heldout_evaluation:011,78,78,0.0
heldout_evaluation,11,heldout_evaluation:011,79,79,0.0
heldout_evaluation,11,heldout_evaluation:011,80,80,0.0
heldout_evaluation,11,heldout_evaluation:011,81,81,0.0
heldout_evaluation,11,heldout_evaluation:011,82,82,0.0
heldout_evaluation,11,heldout_evaluation:011,83,83,0.0
heldout_evaluation,11,heldout_evaluation:011,84,84,0.0
heldout_evaluation,11,heldout_evaluation:011,85,85,0.0
heldout_evaluation,11,heldout_evaluation:011,86,86,0.0
heldout_evaluation,11,heldout_evaluation:011,87,87,0.0
heldout_evaluation,11,heldout_evaluation:011,88,88,0.0
heldout_evaluation,11,heldout_evaluation:011,89,89,0.0
heldout_evaluation,11,heldout_evaluation:011,90,90,0.0
heldout_evaluation,11,heldout_evaluation:011,91,91,0.0
