case_id,split,condition,domain,weather,ems_variant,controller_group,baseline_group,metric,baseline_value,controller_mean,delta_mean,delta_std,improvement_pct,n
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_ungated,map_rule_zero_offset,SOC_RMSE,0.051865095549103984,0.04906574287704461,-0.0027993526720593714,0.0023897709585108864,5.397373016326648,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_ungated,map_rule_zero_offset,SOC_MAE_to_ref,0.04495230422472451,0.04153319322786855,-0.0034191109968559562,0.002786293257253343,7.606086174722472,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_ungated,map_rule_zero_offset,abs_final_SOC_error,0.05869108690243008,0.05168432260941107,-0.007006764293019008,0.005671103782899329,11.938378828572855,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_ungated,map_rule_zero_offset,time_in_SOC_band_0p03_pct,31.666666666666668,37.083333333333336,5.416666666666666,3.773077140890591,17.105263157894733,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_ungated,map_rule_zero_offset,constraint_violation_steps,0.0,0.0,0.0,0.0,nan,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_ungated,map_rule_zero_offset,SOC_corrected_fuel_kg,0.05586363907844673,0.05640374394711993,0.0005401048686732079,0.0004352934016019386,-0.9668272199646064,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_ungated,map_rule_zero_offset,engine_switch_count,2.0,2.0,0.0,0.0,-0.0,5
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_fitted,map_rule_zero_offset,SOC_tail_risk,0.7346441062170295,0.36624660484564764,-0.36839750137138183,0.0,50.14639037511714,1
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_fitted,map_rule_zero_offset,SOC_RMSE,0.08994901544401836,0.06657623999240972,-0.023372775451608638,0.0,25.984470576173425,1
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_fitted,map_rule_zero_offset,SOC_MAE_to_ref,0.07548720564117858,0.05397166045661282,-0.021515545184565762,0.0,28.502240878855563,1
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_fitted,map_rule_zero_offset,abs_final_SOC_error,0.11191220762779391,0.03070252470838497,-0.08120968291940894,0.0,72.5655267113506,1
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_fitted,map_rule_zero_offset,time_in_SOC_band_0p03_pct,27.916666666666668,39.166666666666664,11.249999999999996,0.0,40.29850746268655,1
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_fitted,map_rule_zero_offset,constraint_violation_steps,0.0,0.0,0.0,0.0,nan,1
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_fitted,map_rule_zero_offset,SOC_corrected_fuel_kg,0.08250608769304818,0.08457406546806624,0.0020679777750180622,0.0,-2.5064547754484137,1
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_fitted,map_rule_zero_offset,engine_switch_count,2.0,3.0,1.0,0.0,-50.0,1
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_hand,map_rule_zero_offset,SOC_tail_risk,0.7346441062170295,0.4456333067909844,-0.2890107994260451,0.0,39.34024611104212,1
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,adaptive_rule_9knob_hand,map_rule_zero_offset,SOC_RMSE,0.08994901544401836,0.07158557611933926,-0.0183634393246791,0.0,20.415386687704178,1
