split,controller_group,policy,seed,task_idx,episode_reward_delta,SOC_tail_risk_delta,SOC_tail_violation_steps_delta,SOC_RMSE_delta,abs_final_SOC_error_delta,constraint_violation_steps_delta,battery_limit_proximity_risk_delta,battery_limit_usage_peak_delta,SOC_corrected_fuel_kg_delta,engine_switch_count_delta,battery_energy_throughput_kWh_delta,action_magnitude_mean_delta,action_rate_mean_delta
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,61,4.42681469891528,-0.016642544258421793,-14.0,-0.0020641709990467313,-0.018235973008757345,0.0,0.0,-0.0007233767082193143,0.00022073661493349217,0.0,-0.012546545524045383,0.21043368575628854,0.029081223268682743
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,62,0.6084845135456121,-0.0028821389814255305,-2.0,-0.00036502244250950777,-0.0005433121745183622,0.0,0.0,-0.0005747958612822845,5.672247630894578e-05,0.0,0.0004112149477644156,0.13786506940869406,0.014957642204050593
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,63,-0.03551069523193462,-3.834933218205272e-08,0.0,-8.228428107472097e-06,-8.539973007182233e-05,0.0,0.0,-3.1645011792258426e-05,4.545093453219018e-06,0.0,-6.83984140177063e-05,0.05695905180570359,0.0025127633979233604
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,0,3.2060413929334004,-0.017250775580754274,-1.0,-0.0007621308068762045,-0.0013505006579838108,0.0,0.0,-0.00622364383896723,0.00010055524617694211,0.0,0.0010128754934879969,0.1494949718782704,0.016220766271968994
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,1,-0.029316862050492887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393643836529615,0.0006767401529941708
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,2,0.9571921963005963,-0.005082193452454142,-3.0,-0.0005645645942268032,-0.0008778432770821243,0.0,-1.1744417689659933e-05,0.0,7.265009920151555e-05,0.0,0.000558747152820227,0.25732518127783094,0.034715572841620676
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,3,-0.026530314766073815,-6.47004472603685e-06,0.0,-7.745171927558969e-07,-5.7621048544009845e-05,0.0,0.0,0.0,6.573056514601328e-07,0.0,-4.7127977212568783e-05,0.034751283088698987,0.002605202462291345
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,4,-0.03831009862989987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05168887436351118,0.0007597979779044787
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,5,-26.465387010098823,0.13383776380243007,4.0,0.00564218731807388,0.004352702916083473,0.0,1.582080376839705e-05,0.0,-6.99592005903582e-05,0.0,0.01059553110354694,0.19759813417644992,0.017319255461916327
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,6,-2.205479370026424,0.0011278762801153752,0.0,0.0014621486697550465,0.014133815495921742,0.0,0.0,-0.010225399021754678,1.2940046100078095e-05,0.0,-0.012243804747327697,0.12212224375844621,0.017391078653357307
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,7,-0.028148000105090887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03647423058767648,0.0013101070013362913
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,8,0.3816153362512118,-0.0016002193165056827,0.0,-0.0003524359070148364,-0.0006292279857539329,0.0,0.0,0.0,4.663567353913045e-05,0.0,0.00043445826565108314,0.1769622069778981,0.023521178456333777
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,9,1.3449652199166309,-0.0057711572026192814,-6.0,-0.0004040297588929209,-0.0010210211522228008,0.0,0.0,-0.0003512259329052636,7.307145086207778e-05,0.0,0.0007657658641673781,0.2057935443452637,0.03211542756616835
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,10,0.052129918083755555,-0.0002695292168967199,0.0,-0.00026315052679299483,-0.00038493705245279397,0.0,0.0,-0.0001490021620329518,2.6182981864866783e-05,0.0,0.0002779332282396574,0.1479624092681398,0.01578464953781804
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,11,-0.03831009862989987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05168887436351118,0.0007597979779044787
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,12,0.06318537061574148,-0.0006816233822081741,0.0,-3.2418371632383924e-05,-2.58986192280819e-05,0.0,0.0,-0.00010262919282910676,9.495541474502378e-07,0.0,1.9423964421172446e-05,0.07303700062782606,0.007834946337000777
