split,task_idx,task_key,stage,time_s,delta_P_eng_on_kw,delta_SOC_ref
heldout_evaluation,15,heldout_evaluation:015,20,200,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,21,210,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,22,220,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,23,230,-3.0,0.0
meta_validation,0,meta_validation:000,0,0,0.0,0.0
meta_validation,0,meta_validation:000,1,10,0.0,0.0
meta_validation,0,meta_validation:000,2,20,0.0,0.0
meta_validation,0,meta_validation:000,3,30,0.0,0.0
meta_validation,0,meta_validation:000,4,40,0.0,0.0
meta_validation,0,meta_validation:000,5,50,0.0,0.0
meta_validation,0,meta_validation:000,6,60,0.0,0.0
meta_validation,0,meta_validation:000,7,70,0.0,0.0
meta_validation,0,meta_validation:000,8,80,0.0,0.0
meta_validation,0,meta_validation:000,9,90,0.0,0.0
meta_validation,0,meta_validation:000,10,100,0.0,0.0
meta_validation,0,meta_validation:000,11,110,0.0,0.0
meta_validation,0,meta_validation:000,12,120,0.0,0.0
meta_validation,0,meta_validation:000,13,130,0.0,0.0
meta_validation,0,meta_validation:000,14,140,0.0,0.0
meta_validation,0,meta_validation:000,15,150,0.0,0.0
meta_validation,0,meta_validation:000,16,160,0.0,0.0
meta_validation,0,meta_validation:000,17,170,0.0,0.0
meta_validation,0,meta_validation:000,18,180,0.0,0.0
meta_validation,0,meta_validation:000,19,190,0.0,0.0
meta_validation,0,meta_validation:000,20,200,0.0,0.0
meta_validation,0,meta_validation:000,21,210,0.0,0.0
meta_validation,0,meta_validation:000,22,220,0.0,0.0
meta_validation,0,meta_validation:000,23,230,0.0,0.0
meta_validation,1,meta_validation:001,0,0,0.0,0.0
